in s,C2 in V
-1.1952544E+00,3.30566E+00
-1.1952360E+00,3.24707E+00
-1.1952176E+00,3.25684E+00
-1.1951993E+00,3.25684E+00
-1.1951809E+00,3.23730E+00
-1.1951626E+00,3.32520E+00
-1.1951442E+00,3.27637E+00
-1.1951258E+00,3.30566E+00
-1.1951075E+00,3.29590E+00
-1.1950891E+00,3.30566E+00
-1.1950708E+00,3.24707E+00
-1.1950524E+00,3.27637E+00
-1.1950340E+00,3.28613E+00
-1.1950157E+00,3.29590E+00
-1.1949973E+00,3.25684E+00
-1.1949790E+00,3.30566E+00
-1.1949606E+00,3.27637E+00
-1.1949422E+00,3.26660E+00
-1.1949239E+00,3.27637E+00
-1.1949055E+00,3.28613E+00
-1.1948872E+00,3.29590E+00
-1.1948688E+00,3.30566E+00
-1.1948504E+00,3.26660E+00
-1.1948321E+00,3.28613E+00
-1.1948137E+00,3.21777E+00
-1.1947954E+00,3.27637E+00
-1.1947770E+00,3.22754E+00
-1.1947586E+00,3.24707E+00
-1.1947403E+00,3.27637E+00
-1.1947219E+00,3.29590E+00
-1.1947036E+00,3.26660E+00
-1.1946852E+00,3.25684E+00
-1.1946668E+00,3.27637E+00
-1.1946485E+00,3.27637E+00
-1.1946301E+00,3.27637E+00
-1.1946118E+00,3.25684E+00
-1.1945934E+00,3.27637E+00
-1.1945750E+00,3.26660E+00
-1.1945567E+00,3.24707E+00
-1.1945383E+00,3.23730E+00
-1.1945200E+00,3.30566E+00
-1.1945016E+00,3.22754E+00
-1.1944832E+00,3.28613E+00
-1.1944649E+00,3.28613E+00
-1.1944465E+00,3.28613E+00
-1.1944282E+00,3.28613E+00
-1.1944098E+00,3.27637E+00
-1.1943914E+00,3.31543E+00
-1.1943731E+00,3.24707E+00
-1.1943547E+00,3.28613E+00
-1.1943364E+00,3.22754E+00
-1.1943180E+00,3.23730E+00
-1.1942996E+00,3.27637E+00
-1.1942813E+00,3.26660E+00
-1.1942629E+00,3.27637E+00
-1.1942446E+00,3.29590E+00
-1.1942262E+00,3.31543E+00
-1.1942078E+00,3.26660E+00
-1.1941895E+00,3.29590E+00
-1.1941711E+00,3.28613E+00
-1.1941528E+00,3.27637E+00
-1.1941344E+00,3.26660E+00
-1.1941160E+00,3.27637E+00
-1.1940977E+00,3.30566E+00
-1.1940793E+00,3.28613E+00
-1.1940610E+00,3.28613E+00
-1.1940426E+00,3.29590E+00
-1.1940242E+00,3.27637E+00
-1.1940059E+00,3.26660E+00
-1.1939875E+00,3.28613E+00
-1.1939692E+00,3.29590E+00
-1.1939508E+00,3.26660E+00
-1.1939324E+00,3.31543E+00
-1.1939141E+00,3.26660E+00
-1.1938957E+00,3.33496E+00
-1.1938774E+00,3.27637E+00
-1.1938590E+00,3.30566E+00
-1.1938406E+00,3.27637E+00
-1.1938223E+00,3.28613E+00
-1.1938039E+00,3.24707E+00
-1.1937856E+00,3.25684E+00
-1.1937672E+00,3.29590E+00
-1.1937488E+00,3.27637E+00
-1.1937305E+00,3.29590E+00
-1.1937121E+00,3.28613E+00
-1.1936938E+00,3.24707E+00
-1.1936754E+00,3.29590E+00
-1.1936570E+00,3.27637E+00
-1.1936387E+00,3.24707E+00
-1.1936203E+00,3.27637E+00
