in s,C1 in V
-1.1957089E+00,3.39355E+00
-1.1956906E+00,3.38379E+00
-1.1956722E+00,3.33496E+00
-1.1956539E+00,3.32520E+00
-1.1956356E+00,3.33496E+00
-1.1956172E+00,3.25684E+00
-1.1955989E+00,3.30566E+00
-1.1955805E+00,3.35449E+00
-1.1955622E+00,3.34473E+00
-1.1955439E+00,3.32520E+00
-1.1955255E+00,3.32520E+00
-1.1955072E+00,3.32520E+00
-1.1954889E+00,3.35449E+00
-1.1954705E+00,3.38379E+00
-1.1954522E+00,3.43262E+00
-1.1954339E+00,3.35449E+00
-1.1954155E+00,3.31543E+00
-1.1953972E+00,3.29590E+00
-1.1953788E+00,3.29590E+00
-1.1953605E+00,3.37402E+00
-1.1953422E+00,3.40332E+00
-1.1953238E+00,3.38379E+00
-1.1953055E+00,3.35449E+00
-1.1952872E+00,3.33496E+00
-1.1952688E+00,3.30566E+00
-1.1952505E+00,3.30566E+00
-1.1952322E+00,3.36426E+00
-1.1952138E+00,3.39355E+00
-1.1951955E+00,3.34473E+00
-1.1951772E+00,3.36426E+00
-1.1951588E+00,3.32520E+00
-1.1951405E+00,3.24707E+00
-1.1951221E+00,3.28613E+00
-1.1951038E+00,3.34473E+00
-1.1950855E+00,3.37402E+00
-1.1950671E+00,3.35449E+00
-1.1950488E+00,3.34473E+00
-1.1950305E+00,3.34473E+00
-1.1950121E+00,3.32520E+00
-1.1949938E+00,3.28613E+00
-1.1949755E+00,3.36426E+00
-1.1949571E+00,3.33496E+00
-1.1949388E+00,3.36426E+00
-1.1949204E+00,3.38379E+00
-1.1949021E+00,3.30566E+00
-1.1948838E+00,3.30566E+00
-1.1948654E+00,3.39355E+00
-1.1948471E+00,3.39355E+00
-1.1948288E+00,3.32520E+00
-1.1948104E+00,3.36426E+00
-1.1947921E+00,3.34473E+00
-1.1947738E+00,3.33496E+00
-1.1947554E+00,3.28613E+00
-1.1947371E+00,3.35449E+00
-1.1947188E+00,3.38379E+00
-1.1947004E+00,3.32520E+00
-1.1946821E+00,3.32520E+00
-1.1946637E+00,3.32520E+00
-1.1946454E+00,3.30566E+00
-1.1946271E+00,3.37402E+00
-1.1946087E+00,3.32520E+00
-1.1945904E+00,3.39355E+00
-1.1945721E+00,3.32520E+00
-1.1945537E+00,3.30566E+00
-1.1945354E+00,3.33496E+00
-1.1945171E+00,3.37402E+00
-1.1944987E+00,3.36426E+00
-1.1944804E+00,3.35449E+00
-1.1944620E+00,3.31543E+00
-1.1944437E+00,3.28613E+00
-1.1944254E+00,3.32520E+00
-1.1944070E+00,3.33496E+00
-1.1943887E+00,3.34473E+00
-1.1943704E+00,3.34473E+00
-1.1943520E+00,3.32520E+00
-1.1943337E+00,3.35449E+00
-1.1943154E+00,3.31543E+00
-1.1942970E+00,3.31543E+00
-1.1942787E+00,3.36426E+00
-1.1942604E+00,3.38379E+00
-1.1942420E+00,3.38379E+00
-1.1942237E+00,3.30566E+00
-1.1942053E+00,3.31543E+00
-1.1941870E+00,3.25684E+00
-1.1941687E+00,3.29590E+00
-1.1941503E+00,3.35449E+00
-1.1941320E+00,3.37402E+00
-1.1941137E+00,3.36426E+00
-1.1940953E+00,3.30566E+00
-1.1940770E+00,3.32520E+00
-1.1940587E+00,3.32520E+00
-1.1940403E+00,3.31543E+00
-1.1940220E+00,3.31543E+00
-1.1940036E+00,3.39355E+00
-1.1939853E+00,3.36426E+00
-1.1939670E+00,3.31543E+00
-1.1939486E+00,3.31543E+00
-1.1939303E+00,3.31543E+00
-1.1939120E+00,3.31543E+00
-1.1938936E+00,3.38379E+00
-1.1938753E+00,3.37402E+00
-1.1938570E+00,3.31543E+00
-1.1938386E+00,3.32520E+00
-1.1938203E+00,3.33496E+00
-1.1938020E+00,3.30566E+00
-1.1937836E+00,3.28613E+00
-1.1937653E+00,3.37402E+00
-1.1937469E+00,3.33496E+00
-1.1937286E+00,3.36426E+00
-1.1937103E+00,3.35449E+00
-1.1936919E+00,3.35449E+00
-1.1936736E+00,3.31543E+00
-1.1936553E+00,3.33496E+00
-1.1936369E+00,3.38379E+00
-1.1936186E+00,3.32520E+00
-1.1936003E+00,3.29590E+00
-1.1935819E+00,3.30566E+00
-1.1935636E+00,3.34473E+00
-1.1935452E+00,3.32520E+00
-1.1935269E+00,3.29590E+00
-1.1935086E+00,3.35449E+00
-1.1934902E+00,3.32520E+00
-1.1934719E+00,3.34473E+00
-1.1934536E+00,3.35449E+00
-1.1934352E+00,3.35449E+00
-1.1934169E+00,3.31543E+00
-1.1933986E+00,3.34473E+00
-1.1933802E+00,3.36426E+00
-1.1933619E+00,3.33496E+00
-1.1933436E+00,3.34473E+00
-1.1933252E+00,3.30566E+00
-1.1933069E+00,3.33496E+00
-1.1932885E+00,3.30566E+00
-1.1932702E+00,3.28613E+00
-1.1932519E+00,3.33496E+00
-1.1932335E+00,3.36426E+00
-1.1932152E+00,3.38379E+00
-1.1931969E+00,3.32520E+00
-1.1931785E+00,3.30566E+00
-1.1931602E+00,3.33496E+00
-1.1931419E+00,3.30566E+00
-1.1931235E+00,3.26660E+00
-1.1931052E+00,3.41309E+00
-1.1930868E+00,3.38379E+00
-1.1930685E+00,3.38379E+00
-1.1930502E+00,3.36426E+00
-1.1930318E+00,3.35449E+00
-1.1930135E+00,3.31543E+00
-1.1929952E+00,3.33496E+00
-1.1929768E+00,3.39355E+00
-1.1929585E+00,3.34473E+00
-1.1929402E+00,3.35449E+00
-1.1929218E+00,3.30566E+00
-1.1929035E+00,3.34473E+00
-1.1928852E+00,3.30566E+00
-1.1928668E+00,3.30566E+00
-1.1928485E+00,3.37402E+00
-1.1928301E+00,3.38379E+00
-1.1928118E+00,3.37402E+00
-1.1927935E+00,3.36426E+00
-1.1927751E+00,3.34473E+00
-1.1927568E+00,3.27637E+00
-1.1927385E+00,3.25684E+00
-1.1927201E+00,3.34473E+00
-1.1927018E+00,3.35449E+00
-1.1926835E+00,3.28613E+00
-1.1926651E+00,3.35449E+00
-1.1926468E+00,3.34473E+00
-1.1926284E+00,3.28613E+00
-1.1926101E+00,3.33496E+00
-1.1925918E+00,3.38379E+00
-1.1925734E+00,3.36426E+00
-1.1925551E+00,3.41309E+00
-1.1925368E+00,3.37402E+00
-1.1925184E+00,3.35449E+00
-1.1925001E+00,3.35449E+00
-1.1924818E+00,3.28613E+00
-1.1924634E+00,3.33496E+00
-1.1924451E+00,3.32520E+00
-1.1924268E+00,3.35449E+00
-1.1924084E+00,3.35449E+00
-1.1923901E+00,3.33496E+00
-1.1923717E+00,3.34473E+00
-1.1923534E+00,3.31543E+00
-1.1923351E+00,3.23730E+00
-1.1923167E+00,3.31543E+00
-1.1922984E+00,3.39355E+00
-1.1922801E+00,3.28613E+00
-1.1922617E+00,3.34473E+00
-1.1922434E+00,3.34473E+00
-1.1922251E+00,3.32520E+00
-1.1922067E+00,3.31543E+00
-1.1921884E+00,3.30566E+00
-1.1921700E+00,3.34473E+00
-1.1921517E+00,3.34473E+00
-1.1921334E+00,3.33496E+00
-1.1921150E+00,3.32520E+00
-1.1920967E+00,3.28613E+00
-1.1920784E+00,3.23730E+00
-1.1920600E+00,3.38379E+00
-1.1920417E+00,3.39355E+00
-1.1920234E+00,3.34473E+00
-1.1920050E+00,3.34473E+00
-1.1919867E+00,3.30566E+00
-1.1919684E+00,3.29590E+00
-1.1919500E+00,3.39355E+00
-1.1919317E+00,3.35449E+00
-1.1919133E+00,3.35449E+00
-1.1918950E+00,3.31543E+00
-1.1918767E+00,3.27637E+00
