in s,C1 in V
-2.9848693E+00,5.37109E-02
-2.9848235E+00,3.41797E-02
-2.9847776E+00,2.44141E-02
-2.9847318E+00,4.39453E-02
-2.9846860E+00,4.39453E-02
-2.9846402E+00,4.88281E-03
-2.9845943E+00,3.41797E-02
-2.9845485E+00,5.37109E-02
-2.9845027E+00,5.37109E-02
-2.9844568E+00,1.46484E-02
-2.9844110E+00,3.41797E-02
-2.9843652E+00,1.46484E-02
-2.9843194E+00,3.41797E-02
-2.9842735E+00,-1.46484E-02
-2.9842277E+00,4.39453E-02
-2.9841819E+00,4.88281E-03
-2.9841360E+00,6.34766E-02
-2.9840902E+00,2.44141E-02
-2.9840444E+00,2.44141E-02
-2.9839986E+00,4.39453E-02
-2.9839527E+00,1.46484E-02
-2.9839069E+00,3.41797E-02
-2.9838611E+00,2.44141E-02
-2.9838153E+00,5.37109E-02
-2.9837694E+00,-4.88281E-03
-2.9837236E+00,4.88281E-03
-2.9836778E+00,6.34766E-02
-2.9836319E+00,4.39453E-02
-2.9835861E+00,4.39453E-02
-2.9835403E+00,-1.46484E-02
-2.9834945E+00,1.46484E-02
-2.9834486E+00,3.41797E-02
-2.9834028E+00,4.39453E-02
-2.9833570E+00,2.44141E-02
-2.9833111E+00,-4.88281E-03
-2.9832653E+00,5.37109E-02
-2.9832195E+00,-4.88281E-03
-2.9831737E+00,1.46484E-02
-2.9831278E+00,7.32422E-02
-2.9830820E+00,5.37109E-02
-2.9830362E+00,-4.88281E-03
-2.9829903E+00,4.88281E-03
-2.9829445E+00,4.39453E-02
-2.9828987E+00,6.34766E-02
-2.9828529E+00,6.34766E-02
-2.9828070E+00,1.46484E-02
-2.9827612E+00,1.46484E-02
-2.9827154E+00,3.41797E-02
-2.9826696E+00,2.44141E-02
-2.9826237E+00,2.44141E-02
-2.9825779E+00,7.32422E-02
-2.9825321E+00,4.88281E-03
-2.9824862E+00,4.88281E-03
-2.9824404E+00,4.88281E-03
-2.9823946E+00,8.30078E-02
-2.9823488E+00,8.30078E-02
-2.9823029E+00,4.39453E-02
-2.9822571E+00,6.34766E-02
-2.9822113E+00,2.44141E-02
-2.9821654E+00,7.32422E-02
-2.9821196E+00,4.88281E-03
-2.9820738E+00,1.46484E-02
-2.9820280E+00,4.88281E-03
-2.9819821E+00,4.39453E-02
-2.9819363E+00,4.39453E-02
-2.9818905E+00,5.37109E-02
-2.9818446E+00,6.34766E-02
-2.9817988E+00,4.39453E-02
-2.9817530E+00,5.37109E-02
-2.9817072E+00,1.46484E-02
-2.9816613E+00,-2.44141E-02
-2.9816155E+00,-2.44141E-02
-2.9815697E+00,1.12305E-01
-2.9815239E+00,3.41797E-02
-2.9814780E+00,4.39453E-02
-2.9814322E+00,-4.88281E-03
