in s,C2 in V
-2.9886717E+00,4.88281E-03
-2.9886258E+00,-1.46484E-02
-2.9885799E+00,-3.41797E-02
-2.9885340E+00,4.88281E-03
-2.9884881E+00,2.44141E-02
-2.9884422E+00,-3.41797E-02
-2.9883963E+00,-2.44141E-02
-2.9883504E+00,-1.46484E-02
-2.9883045E+00,-5.37109E-02
-2.9882586E+00,-4.88281E-03
-2.9882127E+00,-3.41797E-02
-2.9881668E+00,-2.44141E-02
-2.9881209E+00,3.41797E-02
-2.9880750E+00,-2.44141E-02
-2.9880291E+00,-2.44141E-02
-2.9879832E+00,-4.88281E-03
-2.9879373E+00,4.88281E-03
-2.9878914E+00,-4.88281E-03
-2.9878455E+00,4.88281E-03
-2.9877996E+00,-2.44141E-02
-2.9877536E+00,-2.44141E-02
-2.9877077E+00,-1.46484E-02
-2.9876618E+00,-1.46484E-02
-2.9876159E+00,1.46484E-02
-2.9875700E+00,-5.37109E-02
-2.9875241E+00,-2.44141E-02
-2.9874782E+00,-2.44141E-02
-2.9874323E+00,-3.41797E-02
-2.9873864E+00,-1.46484E-02
-2.9873405E+00,1.46484E-02
-2.9872946E+00,4.88281E-03
-2.9872487E+00,2.44141E-02
-2.9872028E+00,-8.30078E-02
-2.9871569E+00,4.88281E-03
-2.9871110E+00,-6.34766E-02
-2.9870651E+00,-2.44141E-02
-2.9870192E+00,4.88281E-03
-2.9869733E+00,-4.88281E-03
-2.9869274E+00,2.44141E-02
-2.9868815E+00,-1.46484E-02
-2.9868356E+00,-2.44141E-02
-2.9867897E+00,-2.44141E-02
-2.9867438E+00,-1.46484E-02
-2.9866979E+00,-3.41797E-02
-2.9866520E+00,4.39453E-02
-2.9866060E+00,2.44141E-02
-2.9865601E+00,-3.41797E-02
-2.9865142E+00,4.88281E-03
-2.9864683E+00,-4.88281E-03
-2.9864224E+00,-2.44141E-02
-2.9863765E+00,-4.88281E-03
-2.9863306E+00,-4.88281E-03
-2.9862847E+00,4.39453E-02
-2.9862388E+00,-2.44141E-02
-2.9861929E+00,-3.41797E-02
-2.9861470E+00,4.88281E-03
-2.9861011E+00,-2.44141E-02
-2.9860552E+00,-4.88281E-03
-2.9860093E+00,1.46484E-02
-2.9859634E+00,4.88281E-03
-2.9859175E+00,-1.46484E-02
-2.9858716E+00,1.46484E-02
-2.9858257E+00,-5.37109E-02
-2.9857798E+00,-4.88281E-03
-2.9857339E+00,4.88281E-03
-2.9856880E+00,-1.46484E-02
-2.9856421E+00,-2.44141E-02
-2.9855962E+00,-4.88281E-03
-2.9855503E+00,-2.44141E-02
-2.9855044E+00,3.41797E-02
-2.9854584E+00,4.88281E-03
-2.9854125E+00,-1.46484E-02
-2.9853666E+00,-2.44141E-02
-2.9853207E+00,-4.39453E-02
-2.9852748E+00,-4.88281E-03
-2.9852289E+00,5.37109E-02
-2.9851830E+00,-1.46484E-02
-2.9851371E+00,-4.88281E-03
-2.9850912E+00,-4.88281E-03
-2.9850453E+00,-4.39453E-02
-2.9849994E+00,-3.41797E-02
-2.9849535E+00,-4.88281E-03
-2.9849076E+00,2.44141E-02
-2.9848617E+00,4.88281E-03
-2.9848158E+00,-4.88281E-03
-2.9847699E+00,-4.88281E-03
-2.9847240E+00,-3.41797E-02
-2.9846781E+00,-4.39453E-02
-2.9846322E+00,-2.44141E-02
-2.9845863E+00,-2.44141E-02
-2.9845404E+00,-2.44141E-02
-2.9844945E+00,-1.46484E-02
-2.9844486E+00,-2.44141E-02
-2.9844027E+00,-5.37109E-02
-2.9843568E+00,-2.44141E-02
-2.9843108E+00,4.88281E-03
-2.9842649E+00,-3.41797E-02
-2.9842190E+00,4.39453E-02
-2.9841731E+00,-4.88281E-03
-2.9841272E+00,4.88281E-03
-2.9840813E+00,-2.44141E-02
-2.9840354E+00,-2.44141E-02
-2.9839895E+00,3.41797E-02
-2.9839436E+00,1.46484E-02
-2.9838977E+00,1.46484E-02
-2.9838518E+00,3.41797E-02
-2.9838059E+00,4.88281E-03
-2.9837600E+00,-2.44141E-02
-2.9837141E+00,-2.44141E-02
-2.9836682E+00,1.46484E-02
-2.9836223E+00,-2.44141E-02
-2.9835764E+00,-4.88281E-03
-2.9835305E+00,-5.37109E-02
-2.9834846E+00,-3.41797E-02
-2.9834387E+00,-4.39453E-02
-2.9833928E+00,-3.41797E-02
-2.9833469E+00,-1.46484E-02
-2.9833010E+00,2.44141E-02
-2.9832551E+00,-4.88281E-03
-2.9832092E+00,2.44141E-02
-2.9831632E+00,-2.44141E-02
-2.9831173E+00,-4.88281E-03
-2.9830714E+00,-5.37109E-02
-2.9830255E+00,2.44141E-02
-2.9829796E+00,-3.41797E-02
-2.9829337E+00,-1.46484E-02
-2.9828878E+00,4.88281E-03
-2.9828419E+00,-2.44141E-02
-2.9827960E+00,4.88281E-03
-2.9827501E+00,2.44141E-02
-2.9827042E+00,-1.46484E-02
-2.9826583E+00,1.46484E-02
-2.9826124E+00,4.88281E-03
-2.9825665E+00,-2.44141E-02
-2.9825206E+00,3.41797E-02
-2.9824747E+00,4.88281E-03
-2.9824288E+00,-4.88281E-03
-2.9823829E+00,-4.88281E-03
-2.9823370E+00,-1.46484E-02
-2.9822911E+00,-4.88281E-03
-2.9822452E+00,4.88281E-03
-2.9821993E+00,-4.88281E-03
-2.9821534E+00,4.88281E-03
-2.9821075E+00,-3.41797E-02
-2.9820616E+00,-4.88281E-03
-2.9820156E+00,-4.88281E-03
-2.9819697E+00,1.46484E-02
-2.9819238E+00,-2.44141E-02
-2.9818779E+00,-2.44141E-02
-2.9818320E+00,-4.88281E-03
-2.9817861E+00,-2.44141E-02
-2.9817402E+00,-4.88281E-03
-2.9816943E+00,-4.88281E-03
-2.9816484E+00,-2.44141E-02
-2.9816025E+00,-2.44141E-02
-2.9815566E+00,3.41797E-02
-2.9815107E+00,4.88281E-03
-2.9814648E+00,4.39453E-02
-2.9814189E+00,4.88281E-03
-2.9813730E+00,-4.88281E-03
-2.9813271E+00,-1.46484E-02
-2.9812812E+00,4.88281E-03
-2.9812353E+00,4.88281E-03
-2.9811894E+00,-5.37109E-02
-2.9811435E+00,-2.44141E-02
-2.9810976E+00,1.46484E-02
-2.9810517E+00,-4.39453E-02
-2.9810058E+00,4.88281E-03
-2.9809599E+00,-2.44141E-02
-2.9809140E+00,-5.37109E-02
-2.9808680E+00,1.46484E-02
-2.9808221E+00,-4.88281E-03
-2.9807762E+00,4.88281E-03
-2.9807303E+00,-3.41797E-02
-2.9806844E+00,-3.41797E-02
-2.9806385E+00,-4.39453E-02
-2.9805926E+00,-4.88281E-03
-2.9805467E+00,-4.39453E-02
-2.9805008E+00,-4.88281E-03
-2.9804549E+00,-1.46484E-02
-2.9804090E+00,-2.44141E-02
-2.9803631E+00,-2.44141E-02
-2.9803172E+00,2.44141E-02
-2.9802713E+00,-4.88281E-03
-2.9802254E+00,-8.30078E-02
-2.9801795E+00,-4.88281E-03
-2.9801336E+00,2.44141E-02
-2.9800877E+00,-3.41797E-02
-2.9800418E+00,-4.88281E-03
-2.9799959E+00,-4.88281E-03
-2.9799500E+00,4.88281E-03
-2.9799041E+00,1.46484E-02
-2.9798582E+00,-2.44141E-02
-2.9798123E+00,-2.44141E-02
-2.9797664E+00,-2.44141E-02
-2.9797204E+00,-2.44141E-02
-2.9796745E+00,-3.41797E-02
-2.9796286E+00,-2.44141E-02
-2.9795827E+00,-3.41797E-02
-2.9795368E+00,-4.88281E-03
-2.9794909E+00,2.44141E-02
-2.9794450E+00,4.88281E-03
-2.9793991E+00,-2.44141E-02
-2.9793532E+00,-4.88281E-03
-2.9793073E+00,-2.44141E-02
-2.9792614E+00,4.88281E-03
-2.9792155E+00,-4.88281E-03
-2.9791696E+00,-2.44141E-02
-2.9791237E+00,-2.44141E-02
-2.9790778E+00,-4.88281E-03
-2.9790319E+00,-3.41797E-02
-2.9789860E+00,1.46484E-02
-2.9789401E+00,4.88281E-03
-2.9788942E+00,4.88281E-03
-2.9788483E+00,-2.44141E-02
-2.9788024E+00,4.88281E-03
-2.9787565E+00,-4.88281E-03
-2.9787106E+00,-1.46484E-02
-2.9786647E+00,-4.88281E-03
-2.9786188E+00,1.46484E-02
-2.9785728E+00,-4.88281E-03
-2.9785269E+00,4.88281E-03
-2.9784810E+00,-2.44141E-02
-2.9784351E+00,1.46484E-02
-2.9783892E+00,-2.44141E-02
-2.9783433E+00,-3.41797E-02
-2.9782974E+00,-4.88281E-03
-2.9782515E+00,4.88281E-03
-2.9782056E+00,-4.88281E-03
-2.9781597E+00,4.88281E-03
-2.9781138E+00,-1.46484E-02
-2.9780679E+00,-1.46484E-02
-2.9780220E+00,4.88281E-03
-2.9779761E+00,-4.88281E-03
-2.9779302E+00,-4.88281E-03
-2.9778843E+00,4.88281E-03
-2.9778384E+00,-4.39453E-02
-2.9777925E+00,-4.88281E-03
-2.9777466E+00,-3.41797E-02
-2.9777007E+00,-4.88281E-03
-2.9776548E+00,2.44141E-02
-2.9776089E+00,-4.88281E-03
-2.9775630E+00,-2.44141E-02
-2.9775171E+00,-4.88281E-03
-2.9774712E+00,-2.44141E-02
-2.9774252E+00,-1.46484E-02
-2.9773793E+00,4.88281E-03
-2.9773334E+00,4.88281E-03
-2.9772875E+00,2.44141E-02
-2.9772416E+00,-4.88281E-03
-2.9771957E+00,-2.44141E-02
-2.9771498E+00,-5.37109E-02
-2.9771039E+00,-6.34766E-02
-2.9770580E+00,-2.44141E-02
-2.9770121E+00,4.88281E-03
